ticker,company_name,sector,country,ESG_composite,financial_score,market_score,operational_score,risk_adjusted_score,value_score,growth_score,value_score
PM,PM,Consumer Defensive,US,42.457120102963984,52.92221656935613,59.38777295079946,49.388738304127855,52.21558407262541,60.69048886831095,43.55724684749335,60.69048886831095
CMCSA,CMCSA,Communication Services,US,57.30517412181509,47.40165522779081,45.91660807153243,49.34020570463345,42.62886917839542,57.97345623005416,47.12577058338345,57.97345623005416
VZ,VZ,Communication Services,US,42.48801497543333,46.18394388281675,50.845416330783344,48.85437828177589,55.49878227610815,57.69240034735837,47.64606244523102,57.69240034735837
SBIN.NS,SBIN.NS,Financial Services,India,49.801032553805406,53.86430505952168,56.69981311529819,44.89374611446245,56.11115086580703,57.62913912802391,58.46115393360603,57.62913912802391
BAC,BAC,Financial Services,US,51.972799492392895,42.98706513396399,58.87673663094505,44.24601311587384,53.52070680426981,57.26478856423093,47.42327499852533,57.26478856423093
WFC,WFC,Financial Services,US,49.075105293024365,42.69652925615671,40.4365440612105,52.76840789834355,47.667517292565705,57.01307584885997,46.36974676343125,57.01307584885997
PFE,PFE,Healthcare,US,49.61315414784734,53.56473248477988,56.373284976125845,61.6356068432418,46.691389383708994,56.89385296257501,50.66903647616985,56.89385296257501
DIS,DIS,Communication Services,US,41.985228722718325,46.478828954861854,43.85339069277268,49.503512250435634,49.67011994722801,56.87678911412253,45.15326940882184,56.87678911412253
UNH,UNH,Healthcare,US,55.13433946139787,44.73293062071186,28.759133201505023,45.9543552867078,36.53925087068873,56.63222051646862,47.735164769748245,56.63222051646862
AXISBANK.NS,AXISBANK.NS,Financial Services,India,50.59148708545593,46.62848783866424,47.87296192547184,42.60591254852849,39.95966919998505,56.60278100667283,54.14982733214299,56.60278100667283
JPM,JPM,Financial Services,US,56.121724651636605,43.95512000386982,50.5125768917792,44.437708342775046,51.90850302185629,56.59561634376609,49.19190881946381,56.59561634376609
ICICIBANK.NS,ICICIBANK.NS,Financial Services,India,46.46744377625439,50.59801184755528,46.77779374130348,43.789896962205546,46.46851693533053,55.66326260864642,56.77338784468519,55.66326260864642
WIPRO.NS,WIPRO.NS,Technology,India,56.34478817785094,52.56320841138678,41.69335468243037,44.60299944250976,44.638934161243725,55.61815430264436,56.709251760420855,55.61815430264436
XOM,XOM,Energy,US,42.75561268241373,47.177940134028745,61.88869012949555,50.71199000162165,46.170730660169205,55.56357695528346,49.68894938109425,55.56357695528346
HDFCBANK.NS,HDFCBANK.NS,Financial Services,India,51.73630617262212,53.98587820703472,48.38572478512402,46.00061204516912,48.83476265311812,55.3126353615058,57.95812952208835,55.3126353615058
KOTAKBANK.NS,KOTAKBANK.NS,Financial Services,India,57.93898370183216,45.29110858451055,44.049918943062345,45.08715117102565,47.66005751274141,55.18644510913468,53.61462190141668,55.18644510913468
RELIANCE.NS,RELIANCE.NS,Energy,India,50.71062990110136,72.12976061071343,55.03295099123307,45.19763093793297,49.861823500676046,54.99370317430446,62.37482414423,54.99370317430446
CVX,CVX,Energy,US,46.58901346391595,48.9523630659217,59.94044851121184,49.37531629680071,52.1661920478654,54.54039440142651,52.84038281976896,54.54039440142651
ITC.NS,ITC.NS,Consumer Defensive,India,45.368788305193306,55.64428164867523,54.41783048518311,49.58257222174298,54.83698655930744,54.45048375089792,55.50469193484705,54.45048375089792
ACN,ACN,Technology,US,43.70588960475371,47.71131638834347,51.98359559591778,48.06585209973496,53.546436323388455,54.01679824694982,43.70018287673192,54.01679824694982
