ticker,company_name,price,avg_daily_volume,volatility_pct,liquidity_weight,position_usd,trade_shares,participation_pct_adv,spread_cost_bps,commission_bps,market_impact_bps,total_rt_cost_bps,total_rt_cost_usd
INCY,Incyte Corporation,95.93,2152196.0,33.34,0.085486,8548562.0,89113.0,4.14,5.0,3.0,4.27,24.55,20984.74
CTRA,Coterra Energy Inc.,34.56,7388139.0,28.42,0.105722,10572208.0,305909.0,4.14,5.0,3.0,3.64,23.29,24619.21
DECK,Deckers Outdoor Corporation,98.31,2815658.0,49.37,0.114613,11461314.0,116583.0,4.14,5.0,3.0,6.33,28.66,32843.68
NAVINFLUOR.NS,NAVIN FLUORINE INT. LTD,70.75,215192.0,33.72,0.006304,630362.0,8910.0,4.14,5.0,3.0,4.32,24.64,1553.47
STAG,"Stag Industrial, Inc.",36.55,1303328.0,21.69,0.019724,1972414.0,53965.0,4.14,5.0,3.0,2.78,21.56,4252.63
GGG,Graco Inc.,84.62,819854.0,20.81,0.028725,2872541.0,33946.0,4.14,5.0,3.0,2.67,21.34,6128.89
MUTHOOTFIN.NS,MUTHOOT FINANCE LIMITED,38.3,699010.0,32.34,0.011085,1108544.0,28943.0,4.14,5.0,3.0,4.14,24.29,2692.61
STLD,"Steel Dynamics, Inc.",180.2,1402514.0,35.64,0.104645,10464509.0,58072.0,4.14,5.0,3.0,4.57,25.14,26305.37
ATO,Atmos Energy Corporation,188.97,975701.0,16.29,0.076343,7634254.0,40399.0,4.14,5.0,3.0,2.09,20.18,15403.22
GRMN,Garmin Ltd.,237.65,898711.0,36.09,0.088433,8843308.0,37211.0,4.14,5.0,3.0,4.63,25.25,22330.86
NNN,"NNN REIT, Inc.",42.77,1242597.0,18.58,0.022005,2200526.0,51450.0,4.14,5.0,3.0,2.38,20.76,4569.2
RS,"Reliance, Inc.",305.38,372034.0,26.67,0.047041,4704144.0,15404.0,4.14,5.0,3.0,3.42,22.84,10742.74
TORNTPHARM.NS,TORRENT PHARMACEUTICALS L,48.07,333827.0,22.36,0.006645,664467.0,13822.0,4.14,5.0,3.0,2.87,21.73,1444.06
WTS,"Watts Water Technologies, Inc.",288.92,175962.0,26.39,0.02105,2105008.0,7286.0,4.14,5.0,3.0,3.38,22.77,4792.32
IBKR,"Interactive Brokers Group, Inc.",67.74,5332994.0,39.41,0.14958,14957987.0,220815.0,4.14,5.0,3.0,5.05,26.1,39044.43
SCHAEFFLER.NS,SCHAEFFLER INDIA LIMITED,45.36,99267.0,32.63,0.001864,186444.0,4110.0,4.14,5.0,3.0,4.18,24.37,454.29
MTCH,"Match Group, Inc.",31.44,4686344.0,36.44,0.061006,6100615.0,194040.0,4.14,5.0,3.0,4.67,25.34,15459.63
PIDILITIND.NS,PIDILITE INDUSTRIES LTD,15.31,681620.0,19.89,0.004322,432182.0,28223.0,4.14,5.0,3.0,2.55,21.1,911.82
GMED,"Globus Medical, Inc.",87.92,1247296.0,44.35,0.045406,4540610.0,51645.0,4.14,5.0,3.0,5.69,27.37,12427.91
PORTFOLIO_TOTAL,Top-20 liquidity-weighted @ $100M AUM,,,,,,,,,,,24.7,246961.08
