metric,value
baseline_top20_score_col,pref_balanced
n_simulations,200
perturbation_range,"±10% (primary), ±20%, ±30%"
avg_overlap_pct,74.6
avg_turnover_pct,25.4
std_turnover_pct,6.4
p25_turnover_pct,20.0
p75_turnover_pct,30.0
avg_3m_return_top20,1.6787
avg_3m_return_universe,-4.0356
gross_excess_return_annual,22.8571
expected_turnover_per_rebalance,0.3
round_trip_cost_per_rebalance,0.00245
turnover_cost_drag_annual,0.00294
net_excess_return_annual,22.8542
verdict,MODERATE
sensitivity_±10%_avg_turnover_pct,25.4
sensitivity_±10%_avg_overlap_pct,74.6
sensitivity_±20%_avg_turnover_pct,40.7
sensitivity_±20%_avg_overlap_pct,59.3
sensitivity_±30%_avg_turnover_pct,48.2
sensitivity_±30%_avg_overlap_pct,51.7
