esg_weight,financial_weight,risk_adj_weight,market_weight,operational_weight,mean_score,std_score,score_sharpe,return_sharpe,kendall_vs_base,top10_overlap
0.1,0.15,0.15,0.133,0.133,51.75104218696207,3.6703048881436104,14.099930050150967,0.546160546941991,0.8384180790960452,9
0.1,0.15,0.2,0.122,0.122,51.61233547019444,3.653265316972151,14.127727112784212,0.546160546941991,0.8067796610169491,8
0.25,0.15,0.15,0.1,0.1,51.31842906308676,3.358950055718665,15.278116140544729,0.5121351587951759,0.8576271186440678,9
0.25,0.15,0.1,0.111,0.111,51.45713577985438,3.409689468687109,15.091443444015052,0.5121351587951759,0.8824858757062146,9
0.2,0.15,0.15,0.111,0.111,51.46263343771188,3.440410474509199,14.958282977428032,0.5121351587951759,0.8655367231638418,9
0.2,0.15,0.2,0.1,0.1,51.32392672094423,3.4210740726833135,15.002284554215503,0.5121351587951758,0.8316384180790961,9
0.1,0.15,0.1,0.144,0.144,51.88974890372971,3.71520468858893,13.9668613849756,0.5033998343227208,0.8519774011299435,10
0.1,0.15,0.05,0.156,0.156,52.02845562049735,3.7869738835564353,13.738794409182018,0.5033998343227208,0.864406779661017,10
0.15,0.15,0.1,0.133,0.133,51.745544529104606,3.5918666364850935,14.406310079012512,0.5033998343227207,0.887005649717514,10
0.1,0.2,0.1,0.133,0.133,51.74691010173409,3.795238098841771,13.634693990915277,0.5033998343227207,0.8892655367231639,10
0.15,0.2,0.1,0.122,0.122,51.60270572710898,3.6786889450499083,14.02747187830151,0.5033998343227207,0.9265536723163842,10
0.2,0.25,0.15,0.089,0.089,51.17695583372061,3.6377764557647585,14.068197002928542,0.47879278845383616,0.9186440677966101,9
0.1,0.2,0.2,0.111,0.111,51.46949666819882,3.7188070538839804,13.84032457749031,0.47879278845383616,0.8406779661016949,8
0.15,0.15,0.2,0.111,0.111,51.46813109556933,3.526644525010401,14.594079649680069,0.47879278845383616,0.8271186440677967,8
0.15,0.15,0.15,0.122,0.122,51.60683781233696,3.5448490891459334,14.558260877422812,0.47879278845383616,0.8677966101694915,10
0.15,0.3,0.2,0.078,0.078,51.03961468958246,3.814905220877668,13.378999407094637,0.47879278845383616,0.8836158192090395,9
0.2,0.2,0.2,0.089,0.089,51.18108791894861,3.499606603793219,14.624811789419708,0.47879278845383616,0.8531073446327684,9
0.15,0.25,0.15,0.1,0.1,51.32116020834572,3.7286228330472175,13.764106080160186,0.47879278845383616,0.919774011299435,9
0.2,0.25,0.2,0.078,0.078,51.03824911695299,3.603169882038379,14.164818975080697,0.47879278845383616,0.8621468926553673,9
0.1,0.3,0.2,0.089,0.089,51.183819064207555,3.920733031033003,13.054655509002252,0.47879278845383616,0.8677966101694915,8
0.1,0.3,0.15,0.1,0.1,51.3225257809752,3.9590150135879085,12.963458234821683,0.47879278845383616,0.9107344632768362,8
0.1,0.25,0.2,0.1,0.1,51.326657866203185,3.8085157973718733,13.476813697418368,0.47879278845383616,0.8531073446327684,8
