parameter,delta,old_weight,new_weight,kendall_tau,kendall_p,spearman_r,spearman_p,top10_overlap,top20_overlap
ESG_composite,-0.1,0.15,0.04999999999999999,0.9242937853107344,1.7290095021761075e-25,0.9871075298694082,7.446757464006401e-48,8,20
ESG_composite,-0.05,0.15,0.09999999999999999,0.9683615819209039,8.124915878469566e-28,0.9970547374270633,2.1651999656253788e-66,9,20
ESG_composite,0.05,0.15,0.2,0.9581920903954803,2.8609189747091698e-27,0.9949986107252016,9.827051438530256e-60,9,19
ESG_composite,0.1,0.15,0.25,0.9186440677966101,3.3771398084668363e-25,0.9884412336760213,3.1954815483779697e-49,9,18
financial_score,-0.1,0.25,0.15,0.9322033898305085,6.726713875937709e-26,0.990275076410114,2.1859255337738818e-51,10,20
financial_score,-0.05,0.25,0.2,0.9728813559322034,4.624070359378828e-28,0.9981105862739652,5.631176356334395e-72,10,20
financial_score,0.05,0.25,0.3,0.9785310734463277,2.2774769124487392e-28,0.9983328702417341,1.4980781673390544e-73,9,19
financial_score,0.1,0.25,0.35,0.9548022598870055,4.339830716994385e-27,0.9952208946929706,2.637272503010762e-60,9,19
market_score,-0.1,0.1,0.01,0.855367231638418,4.627863276612882e-22,0.9651569880522368,1.8327406229213437e-35,8,18
market_score,-0.05,0.1,0.05,0.9333333333333333,5.874245574521581e-26,0.990275076410114,2.1859255337738818e-51,9,18
market_score,0.05,0.1,0.15000000000000002,0.9491525423728814,8.663295727771313e-27,0.9943873298138373,2.7612680075565593e-58,10,20
market_score,0.1,0.1,0.2,0.9028248587570621,2.154461355535315e-24,0.9828285634898584,2.8594578937510904e-44,10,19
operational_score,-0.1,0.1,0.01,0.9457627118644067,1.3090866275242705e-26,0.9935537649347043,1.5141095046837768e-56,9,19
operational_score,-0.05,0.1,0.05,0.9694915254237289,7.058711279315099e-28,0.9976104473464854,5.074032592424273e-69,9,19
operational_score,0.05,0.1,0.15000000000000002,0.9694915254237289,7.058711279315099e-28,0.9976660183384275,2.566400552615227e-69,10,19
operational_score,0.1,0.1,0.2,0.9435028248587571,1.7224296993387035e-26,0.992164490136149,4.26615908903775e-54,10,19
risk_adjusted_score,-0.1,0.08,0.01,0.9186440677966101,3.3771398084668363e-25,0.9862739649902753,4.529990638613623e-47,9,19
risk_adjusted_score,-0.05,0.08,0.03,0.9446327683615818,1.501723520633697e-26,0.9929980550152823,1.6532743252131775e-55,10,19
risk_adjusted_score,0.05,0.08,0.13,0.9570621468926553,3.287744475645281e-27,0.9953876076687971,9.439448223088097e-61,9,19
risk_adjusted_score,0.1,0.08,0.18,0.9141242937853107,5.752936839204002e-25,0.9869963878855238,9.537142960343883e-48,9,18
growth_score,-0.1,0.12,0.01999999999999999,0.9141242937853107,5.752936839204002e-25,0.9852736871353155,3.4363505504745512e-46,9,19
growth_score,-0.05,0.12,0.06999999999999999,0.9604519774011299,2.165261182219645e-27,0.9959988885801614,1.5414319919150994e-62,9,19
growth_score,0.05,0.12,0.16999999999999998,0.951412429378531,6.573690409164855e-27,0.9947207557654906,4.6961070176427175e-59,9,19
growth_score,0.1,0.12,0.22,0.9175141242937854,3.85912850843263e-25,0.9889413726035011,8.920599084327264e-50,8,18
value_score,-0.1,0.08,0.01,0.9175141242937854,3.85912850843263e-25,0.9851625451514311,4.267130333389479e-46,9,19
value_score,-0.05,0.08,0.03,0.9344632768361582,5.128982074468878e-26,0.9901083634342874,3.5704885559396306e-51,9,19
value_score,0.05,0.08,0.13,0.9536723163841808,4.984883650551005e-27,0.995109752709086,5.129118083197876e-60,10,20
value_score,0.1,0.08,0.18,0.9016949152542372,2.4563965477031774e-24,0.9823839955543209,5.964472056827877e-44,9,20
stability_score,-0.1,0.05,0.01,0.9367231638418079,3.908221416758063e-26,0.9916643512086691,2.549051248414123e-53,10,19
stability_score,-0.05,0.05,0.01,0.9367231638418079,3.908221416758063e-26,0.9916643512086691,2.549051248414123e-53,10,19
stability_score,0.05,0.05,0.1,0.919774011299435,2.954872849962622e-25,0.9839399833287028,4.169738506008008e-45,9,20
stability_score,0.1,0.05,0.15000000000000002,0.8474576271186441,1.1016762826629425e-21,0.9529313698249514,9.499494681964903e-32,8,19
similarity_rank,-0.1,0.04,0.01,0.9401129943502824,2.5964241598655957e-26,0.989719366490692,1.0870024726448738e-50,10,19
similarity_rank,-0.05,0.04,0.01,0.9401129943502824,2.5964241598655957e-26,0.989719366490692,1.0870024726448738e-50,10,19
similarity_rank,0.05,0.04,0.09,0.8949152542372881,5.377578290866202e-24,0.9723812170047237,2.397552114680094e-38,9,19
similarity_rank,0.1,0.04,0.14,0.8293785310734463,7.765227020096448e-21,0.943928869130314,1.341851990608839e-29,9,18
sector_position,-0.1,0.03,0.01,0.9423728813559322,1.9752540228188946e-26,0.9924423450958602,1.5029693159704828e-54,9,19
sector_position,-0.05,0.03,0.01,0.9423728813559322,1.9752540228188946e-26,0.9924423450958602,1.5029693159704828e-54,9,19
sector_position,0.05,0.03,0.08,0.9028248587570621,2.154461355535315e-24,0.9828285634898584,2.8594578937510904e-44,10,19
sector_position,0.1,0.03,0.13,0.8440677966101694,1.593809335779847e-21,0.9613225896082247,3.589872182300284e-34,9,18
